	ab	abmainrel	absubrel	abtag	cd	cdmainrel	cdsubrel	cdtag	chunks	match	probe	probearr	probecorr	proberesp	trialtag	trialtype
262	1	3	7	explosion:damage	0	None	None	None	2	None	0	0	0	0	explosion:damage::fun:boring	AB
263	0	3	7	explosion:damage	0	2	6	fun:boring	2	0	1	2	3	['3']	explosion:damage::fun:boring	Probe
264	0	None	None	None	1	2	4	bright:dark	3	1	0	0	0	0	fast:slow::bright:dark	CD
265	1	2	4	fast:slow	0	None	None	None	3	None	0	0	0	0	fast:slow::bright:dark	AB
266	0	2	4	fast:slow	0	2	4	bright:dark	3	1	1	1	3	['3']	fast:slow::bright:dark	Probe
267	0	None	None	None	1	3	8	heat:sweat	2	0	0	0	0	0	fast:slow::heat:sweat	CD
268	1	2	4	fast:slow	0	None	None	None	2	None	0	0	0	0	fast:slow::heat:sweat	AB
269	0	2	4	fast:slow	0	3	8	heat:sweat	2	0	1	2	3	['3']	fast:slow::heat:sweat	Probe
270	0	None	None	None	1	3	8	dirty:bathe	2	0	0	0	0	0	fat:thin::dirty:bathe	CD
271	1	2	4	fat:thin	0	None	None	None	2	None	0	0	0	0	fat:thin::dirty:bathe	AB
272	0	2	4	fat:thin	0	3	8	dirty:bathe	2	0	1	2	3	['3']	fat:thin::dirty:bathe	Probe
273	0	None	None	None	1	1	1	kid:child	4	0	0	0	0	0	fat:thin::kid:child	CD
274	1	2	4	fat:thin	0	None	None	None	4	None	0	0	0	0	fat:thin::kid:child	AB
275	0	2	4	fat:thin	0	1	1	kid:child	4	0	1	1	4	['4']	fat:thin::kid:child	Probe
276	0	None	None	None	1	1	2	hill:mountain	6	1	0	0	0	0	fence:hedge::hill:mountain	CD
277	1	1	2	fence:hedge	0	None	None	None	6	None	0	0	0	0	fence:hedge::hill:mountain	AB
278	0	1	2	fence:hedge	0	1	2	hill:mountain	6	1	1	1	3	['3']	fence:hedge::hill:mountain	Probe
279	0	None	None	None	1	1	2	paper:parchment	7	1	0	0	0	0	fence:hedge::paper:parchment	CD
280	1	1	2	fence:hedge	0	None	None	None	7	None	0	0	0	0	fence:hedge::paper:parchment	AB
281	0	1	2	fence:hedge	0	1	2	paper:parchment	7	1	1	2	4	['4']	fence:hedge::paper:parchment	Probe
282	0	None	None	None	1	1	3	dim:light	6	0	0	0	0	0	fire:burns::dim:light	CD
283	1	3	7	fire:burns	0	None	None	None	6	None	0	0	0	0	fire:burns::dim:light	AB
284	0	3	7	fire:burns	0	1	3	dim:light	6	0	1	2	3	['3']	fire:burns::dim:light	Probe
285	0	None	None	None	1	3	7	heater:warmth	8	1	0	0	0	0	fire:burns::heater:warmth	CD
286	1	3	7	fire:burns	0	None	None	None	8	None	0	0	0	0	fire:burns::heater:warmth	AB
287	0	3	7	fire:burns	0	3	7	heater:warmth	8	1	1	2	4	['3']	fire:burns::heater:warmth	Probe
288	0	None	None	None	1	3	9	read:learn	2	1	0	0	0	0	flee:escape::read:learn	CD
289	1	3	9	flee:escape	0	None	None	None	2	None	0	0	0	0	flee:escape::read:learn	AB
290	0	3	9	flee:escape	0	3	9	read:learn	2	1	1	1	3	['4']	flee:escape::read:learn	Probe
291	0	None	None	None	1	1	3	soften:voice	4	0	0	0	0	0	flee:escape::soften:voice	CD
292	1	3	9	flee:escape	0	None	None	None	4	None	0	0	0	0	flee:escape::soften:voice	AB
293	0	3	9	flee:escape	0	1	3	soften:voice	4	0	1	2	3	['3']	flee:escape::soften:voice	Probe
294	0	None	None	None	1	1	3	death:population	6	1	0	0	0	0	flood:water::death:population	CD
295	1	1	3	flood:water	0	None	None	None	6	None	0	0	0	0	flood:water::death:population	AB
296	0	1	3	flood:water	0	1	3	death:population	6	1	1	2	4	['3']	flood:water::death:population	Probe
297	0	None	None	None	1	3	8	sadness:cry	7	0	0	0	0	0	flood:water::sadness:cry	CD
298	1	1	3	flood:water	0	None	None	None	7	None	0	0	0	0	flood:water::sadness:cry	AB
299	0	1	3	flood:water	0	3	8	sadness:cry	7	0	1	1	4	['4']	flood:water::sadness:cry	Probe
300	0	None	None	None	1	1	3	acceleration:speed	2	1	0	0	0	0	force:pressure::acceleration:speed	CD
301	1	1	3	force:pressure	0	None	None	None	2	None	0	0	0	0	force:pressure::acceleration:speed	AB
302	0	1	3	force:pressure	0	1	3	acceleration:speed	2	1	1	1	3	['3']	force:pressure::acceleration:speed	Probe
303	0	None	None	None	1	1	3	speed:movement	3	1	0	0	0	0	force:pressure::speed:movement	CD
304	1	1	3	force:pressure	0	None	None	None	3	None	0	0	0	0	force:pressure::speed:movement	AB
305	0	1	3	force:pressure	0	1	3	speed:movement	3	1	1	1	3	['4']	force:pressure::speed:movement	Probe
306	0	None	None	None	1	2	5	climb:descend	4	1	0	0	0	0	forward:backward::climb:descend	CD
307	1	2	5	forward:backward	0	None	None	None	4	None	0	0	0	0	forward:backward::climb:descend	AB
308	0	2	5	forward:backward	0	2	5	climb:descend	4	1	1	2	4	['4']	forward:backward::climb:descend	Probe
309	0	None	None	None	1	2	5	north:south	2	1	0	0	0	0	forward:backward::north:south	CD
310	1	2	5	forward:backward	0	None	None	None	2	None	0	0	0	0	forward:backward::north:south	AB
311	0	2	5	forward:backward	0	2	5	north:south	2	1	1	2	4	['4']	forward:backward::north:south	Probe
312	0	None	None	None	1	3	8	heat:sweat	3	1	0	0	0	0	fright:scream::heat:sweat	CD
313	1	3	8	fright:scream	0	None	None	None	3	None	0	0	0	0	fright:scream::heat:sweat	AB
314	0	3	8	fright:scream	0	3	8	heat:sweat	3	1	1	1	3	['3']	fright:scream::heat:sweat	Probe
315	0	None	None	None	1	3	8	loneliness:socialize	2	1	0	0	0	0	fright:scream::loneliness:socialize	CD
316	1	3	8	fright:scream	0	None	None	None	2	None	0	0	0	0	fright:scream::loneliness:socialize	AB
317	0	3	8	fright:scream	0	3	8	loneliness:socialize	2	1	1	1	3	['4']	fright:scream::loneliness:socialize	Probe
318	0	None	None	None	1	2	5	interior:exterior	8	1	0	0	0	0	front:back::interior:exterior	CD
319	1	2	5	front:back	0	None	None	None	8	None	0	0	0	0	front:back::interior:exterior	AB
320	0	2	5	front:back	0	2	5	interior:exterior	8	1	1	1	3	['3']	front:back::interior:exterior	Probe
321	0	None	None	None	1	1	2	wagon:trailer	6	0	0	0	0	0	front:back::wagon:trailer	CD
322	1	2	5	front:back	0	None	None	None	6	None	0	0	0	0	front:back::wagon:trailer	AB
323	0	2	5	front:back	0	1	2	wagon:trailer	6	0	1	1	4	['4']	front:back::wagon:trailer	Probe
324	0	None	None	None	1	2	6	powerful:meek	7	1	0	0	0	0	fun:boring::powerful:meek	CD
325	1	2	6	fun:boring	0	None	None	None	7	None	0	0	0	0	fun:boring::powerful:meek	AB
326	0	2	6	fun:boring	0	2	6	powerful:meek	7	1	1	2	4	['4']	fun:boring::powerful:meek	Probe
327	0	None	None	None	1	2	6	smiling:sad	5	1	0	0	0	0	fun:boring::smiling:sad	CD
328	1	2	6	fun:boring	0	None	None	None	5	None	0	0	0	0	fun:boring::smiling:sad	AB
329	0	2	6	fun:boring	0	2	6	smiling:sad	5	1	1	2	4	['3']	fun:boring::smiling:sad	Probe
330	0	None	None	None	1	3	8	fright:scream	8	0	0	0	0	0	funny:serious::fright:scream	CD
331	1	2	6	funny:serious	0	None	None	None	8	None	0	0	0	0	funny:serious::fright:scream	AB
332	0	2	6	funny:serious	0	3	8	fright:scream	8	0	1	1	4	['4']	funny:serious::fright:scream	Probe
333	0	None	None	None	1	3	9	wash:clean	6	0	0	0	0	0	funny:serious::wash:clean	CD
334	1	2	6	funny:serious	0	None	None	None	6	None	0	0	0	0	funny:serious::wash:clean	AB
335	0	2	6	funny:serious	0	3	9	wash:clean	6	0	1	1	4	['4']	funny:serious::wash:clean	Probe
336	0	None	None	None	1	1	3	acceleration:speed	4	0	0	0	0	0	germs:sickness::acceleration:speed	CD
337	1	3	7	germs:sickness	0	None	None	None	4	None	0	0	0	0	germs:sickness::acceleration:speed	AB
338	0	3	7	germs:sickness	0	1	3	acceleration:speed	4	0	1	2	3	['4']	germs:sickness::acceleration:speed	Probe
339	0	None	None	None	1	3	7	illness:discomfort	2	1	0	0	0	0	germs:sickness::illness:discomfort	CD
340	1	3	7	germs:sickness	0	None	None	None	2	None	0	0	0	0	germs:sickness::illness:discomfort	AB
341	0	3	7	germs:sickness	0	3	7	illness:discomfort	2	1	1	2	4	['4']	germs:sickness::illness:discomfort	Probe
342	0	None	None	None	1	1	3	shorten:distance	4	0	0	0	0	0	good:bad::shorten:distance	CD
343	1	2	4	good:bad	0	None	None	None	4	None	0	0	0	0	good:bad::shorten:distance	AB
344	0	2	4	good:bad	0	1	3	shorten:distance	4	0	1	2	3	['3']	good:bad::shorten:distance	Probe
345	0	None	None	None	1	2	4	tall:short	1	1	0	0	0	0	good:bad::tall:short	CD
346	1	2	4	good:bad	0	None	None	None	1	None	0	0	0	0	good:bad::tall:short	AB
347	0	2	4	good:bad	0	2	4	tall:short	1	1	1	2	4	['4']	good:bad::tall:short	Probe
348	0	None	None	None	1	2	6	loud:discreet	8	1	0	0	0	0	good:wrong::loud:discreet	CD
349	1	2	6	good:wrong	0	None	None	None	8	None	0	0	0	0	good:wrong::loud:discreet	AB
350	0	2	6	good:wrong	0	2	6	loud:discreet	8	1	1	2	4	['3']	good:wrong::loud:discreet	Probe
351	0	None	None	None	1	3	8	nervousness:sweat	5	0	0	0	0	0	good:wrong::nervousness:sweat	CD
352	1	2	6	good:wrong	0	None	None	None	5	None	0	0	0	0	good:wrong::nervousness:sweat	AB
353	0	2	6	good:wrong	0	3	8	nervousness:sweat	5	0	1	2	3	['3']	good:wrong::nervousness:sweat	Probe
354	0	None	None	None	1	2	4	accept:reject	7	0	0	0	0	0	happiness:smile::accept:reject	CD
355	1	3	8	happiness:smile	0	None	None	None	7	None	0	0	0	0	happiness:smile::accept:reject	AB
356	0	3	8	happiness:smile	0	2	4	accept:reject	7	0	1	2	3	['3']	happiness:smile::accept:reject	Probe
357	0	None	None	None	1	3	8	sadness:cry	6	1	0	0	0	0	happiness:smile::sadness:cry	CD
358	1	3	8	happiness:smile	0	None	None	None	6	None	0	0	0	0	happiness:smile::sadness:cry	AB
359	0	3	8	happiness:smile	0	3	8	sadness:cry	6	1	1	2	4	['4']	happiness:smile::sadness:cry	Probe
360	0	None	None	None	1	1	1	boat:ship	5	0	0	0	0	0	heat:sweat::boat:ship	CD
361	1	3	8	heat:sweat	0	None	None	None	5	None	0	0	0	0	heat:sweat::boat:ship	AB
362	0	3	8	heat:sweat	0	1	1	boat:ship	5	0	1	2	3	['3']	heat:sweat::boat:ship	Probe
363	0	None	None	None	1	3	8	sickness:medicate	8	1	0	0	0	0	heat:sweat::sickness:medicate	CD
364	1	3	8	heat:sweat	0	None	None	None	8	None	0	0	0	0	heat:sweat::sickness:medicate	AB
365	0	3	8	heat:sweat	0	3	8	sickness:medicate	8	1	1	1	3	['4']	heat:sweat::sickness:medicate	Probe
366	0	None	None	None	1	3	9	ignite:burn	8	0	0	0	0	0	heat:temperature::ignite:burn	CD
367	1	1	3	heat:temperature	0	None	None	None	8	None	0	0	0	0	heat:temperature::ignite:burn	AB
368	0	1	3	heat:temperature	0	3	9	ignite:burn	8	0	1	2	3	['3']	heat:temperature::ignite:burn	Probe
369	0	None	None	None	1	2	6	loud:discreet	5	0	0	0	0	0	heat:temperature::loud:discreet	CD
370	1	1	3	heat:temperature	0	None	None	None	5	None	0	0	0	0	heat:temperature::loud:discreet	AB
371	0	1	3	heat:temperature	0	2	6	loud:discreet	5	0	1	1	4	['4']	heat:temperature::loud:discreet	Probe
372	0	None	None	None	1	3	7	bath:cleanliness	4	1	0	0	0	0	heater:warmth::bath:cleanliness	CD
373	1	3	7	heater:warmth	0	None	None	None	4	None	0	0	0	0	heater:warmth::bath:cleanliness	AB
374	0	3	7	heater:warmth	0	3	7	bath:cleanliness	4	1	1	2	4	['4']	heater:warmth::bath:cleanliness	Probe
375	0	None	None	None	1	2	5	climb:descend	1	0	0	0	0	0	heater:warmth::climb:descend	CD
376	1	3	7	heater:warmth	0	None	None	None	1	None	0	0	0	0	heater:warmth::climb:descend	AB
377	0	3	7	heater:warmth	0	2	5	climb:descend	1	0	1	1	4	['4']	heater:warmth::climb:descend	Probe
378	0	None	None	None	1	1	3	discount:price	5	0	0	0	0	0	high:down::discount:price	CD
379	1	2	6	high:down	0	None	None	None	5	None	0	0	0	0	high:down::discount:price	AB
380	0	2	6	high:down	0	1	3	discount:price	5	0	1	1	4	['4']	high:down::discount:price	Probe
381	0	None	None	None	1	1	1	option:choice	8	0	0	0	0	0	high:down::option:choice	CD
382	1	2	6	high:down	0	None	None	None	8	None	0	0	0	0	high:down::option:choice	AB
383	0	2	6	high:down	0	1	1	option:choice	8	0	1	1	4	['4']	high:down::option:choice	Probe
384	0	None	None	None	1	2	5	rise:sink	6	1	0	0	0	0	high:low::rise:sink	CD
385	1	2	5	high:low	0	None	None	None	6	None	0	0	0	0	high:low::rise:sink	AB
386	0	2	5	high:low	0	2	5	rise:sink	6	1	1	2	4	['4']	high:low::rise:sink	Probe
387	0	None	None	None	1	2	5	up:down	7	1	0	0	0	0	high:low::up:down	CD
388	1	2	5	high:low	0	None	None	None	7	None	0	0	0	0	high:low::up:down	AB
389	0	2	5	high:low	0	2	5	up:down	7	1	1	1	3	['3']	high:low::up:down	Probe
390	0	None	None	None	1	3	8	anger:yell	3	0	0	0	0	0	hill:mountain::anger:yell	CD
391	1	1	2	hill:mountain	0	None	None	None	3	None	0	0	0	0	hill:mountain::anger:yell	AB
392	0	1	2	hill:mountain	0	3	8	anger:yell	3	0	1	2	3	['3']	hill:mountain::anger:yell	Probe
393	0	None	None	None	1	3	8	danger:flee	1	0	0	0	0	0	hill:mountain::danger:flee	CD
394	1	1	2	hill:mountain	0	None	None	None	1	None	0	0	0	0	hill:mountain::danger:flee	AB
395	0	1	2	hill:mountain	0	3	8	danger:flee	1	0	1	2	3	['3']	hill:mountain::danger:flee	Probe
396	0	None	None	None	1	2	4	accept:reject	6	1	0	0	0	0	hot:cold::accept:reject	CD
397	1	2	4	hot:cold	0	None	None	None	6	None	0	0	0	0	hot:cold::accept:reject	AB
398	0	2	4	hot:cold	0	2	4	accept:reject	6	1	1	1	3	['3']	hot:cold::accept:reject	Probe
399	0	None	None	None	1	2	4	old:young	8	1	0	0	0	0	hot:cold::old:young	CD
400	1	2	4	hot:cold	0	None	None	None	8	None	0	0	0	0	hot:cold::old:young	AB
401	0	2	4	hot:cold	0	2	4	old:young	8	1	1	2	4	['4']	hot:cold::old:young	Probe
402	0	None	None	None	1	1	1	boat:ship	7	1	0	0	0	0	house:home::boat:ship	CD
403	1	1	1	house:home	0	None	None	None	7	None	0	0	0	0	house:home::boat:ship	AB
404	0	1	1	house:home	0	1	1	boat:ship	7	1	1	2	4	['4']	house:home::boat:ship	Probe
405	0	None	None	None	1	1	1	run:sprint	6	1	0	0	0	0	house:home::run:sprint	CD
406	1	1	1	house:home	0	None	None	None	6	None	0	0	0	0	house:home::run:sprint	AB
407	0	1	1	house:home	0	1	1	run:sprint	6	1	1	1	3	['3']	house:home::run:sprint	Probe
408	0	None	None	None	1	1	2	book:magazine	2	1	0	0	0	0	house:tent::book:magazine	CD
409	1	1	2	house:tent	0	None	None	None	2	None	0	0	0	0	house:tent::book:magazine	AB
410	0	1	2	house:tent	0	1	2	book:magazine	2	1	1	1	3	['3']	house:tent::book:magazine	Probe
411	0	None	None	None	1	2	4	tall:short	4	0	0	0	0	0	house:tent::tall:short	CD
412	1	1	2	house:tent	0	None	None	None	4	None	0	0	0	0	house:tent::tall:short	AB
413	0	1	2	house:tent	0	2	4	tall:short	4	0	1	2	3	['3']	house:tent::tall:short	Probe
414	0	None	None	None	1	3	8	dirtiness:bathe	7	1	0	0	0	0	hunger:eat::dirtiness:bathe	CD
415	1	3	8	hunger:eat	0	None	None	None	7	None	0	0	0	0	hunger:eat::dirtiness:bathe	AB
416	0	3	8	hunger:eat	0	3	8	dirtiness:bathe	7	1	1	1	3	['3']	hunger:eat::dirtiness:bathe	Probe
417	0	None	None	None	1	3	8	tiredness:rest	6	1	0	0	0	0	hunger:eat::tiredness:rest	CD
418	1	3	8	hunger:eat	0	None	None	None	6	None	0	0	0	0	hunger:eat::tiredness:rest	AB
419	0	3	8	hunger:eat	0	3	8	tiredness:rest	6	1	1	2	4	['4']	hunger:eat::tiredness:rest	Probe
420	0	None	None	None	1	2	6	majority:small	3	0	0	0	0	0	ignite:burn::majority:small	CD
421	1	3	9	ignite:burn	0	None	None	None	3	None	0	0	0	0	ignite:burn::majority:small	AB
422	0	3	9	ignite:burn	0	2	6	majority:small	3	0	1	2	3	['3']	ignite:burn::majority:small	Probe
423	0	None	None	None	1	1	3	speed:movement	2	0	0	0	0	0	ignite:burn::speed:movement	CD
424	1	3	9	ignite:burn	0	None	None	None	2	None	0	0	0	0	ignite:burn::speed:movement	AB
425	0	3	9	ignite:burn	0	1	3	speed:movement	2	0	1	1	4	['3']	ignite:burn::speed:movement	Probe
426	0	None	None	None	1	3	7	explosion:damage	5	1	0	0	0	0	illness:discomfort::explosion:damage	CD
427	1	3	7	illness:discomfort	0	None	None	None	5	None	0	0	0	0	illness:discomfort::explosion:damage	AB
428	0	3	7	illness:discomfort	0	3	7	explosion:damage	5	1	1	1	3	['3']	illness:discomfort::explosion:damage	Probe
429	0	None	None	None	1	3	7	stimulus:response	7	1	0	0	0	0	illness:discomfort::stimulus:response	CD
430	1	3	7	illness:discomfort	0	None	None	None	7	None	0	0	0	0	illness:discomfort::stimulus:response	AB
431	0	3	7	illness:discomfort	0	3	7	stimulus:response	7	1	1	1	3	['3']	illness:discomfort::stimulus:response	Probe
432	0	None	None	None	1	2	5	left:right	1	1	0	0	0	0	in:out::left:right	CD
433	1	2	5	in:out	0	None	None	None	1	None	0	0	0	0	in:out::left:right	AB
434	0	2	5	in:out	0	2	5	left:right	1	1	1	2	4	['4']	in:out::left:right	Probe
435	0	None	None	None	1	3	8	loneliness:socialize	3	0	0	0	0	0	in:out::loneliness:socialize	CD
436	1	2	5	in:out	0	None	None	None	3	None	0	0	0	0	in:out::loneliness:socialize	AB
437	0	2	5	in:out	0	3	8	loneliness:socialize	3	0	1	1	4	['3']	in:out::loneliness:socialize	Probe
438	0	None	None	None	1	3	8	hunger:eat	2	0	0	0	0	0	inflation:price::hunger:eat	CD
439	1	1	3	inflation:price	0	None	None	None	2	None	0	0	0	0	inflation:price::hunger:eat	AB
440	0	1	3	inflation:price	0	3	8	hunger:eat	2	0	1	1	4	['4']	inflation:price::hunger:eat	Probe
441	0	None	None	None	1	2	6	witty:dumb	4	0	0	0	0	0	inflation:price::witty:dumb	CD
442	1	1	3	inflation:price	0	None	None	None	4	None	0	0	0	0	inflation:price::witty:dumb	AB
443	0	1	3	inflation:price	0	2	6	witty:dumb	4	0	1	2	3	['3']	inflation:price::witty:dumb	Probe
444	0	None	None	None	1	1	3	death:population	8	0	0	0	0	0	injury:pain::death:population	CD
445	1	3	7	injury:pain	0	None	None	None	8	None	0	0	0	0	injury:pain::death:population	AB
446	0	3	7	injury:pain	0	1	3	death:population	8	0	1	2	3	['3']	injury:pain::death:population	Probe
447	0	None	None	None	1	3	7	loss:grief	6	1	0	0	0	0	injury:pain::loss:grief	CD
448	1	3	7	injury:pain	0	None	None	None	6	None	0	0	0	0	injury:pain::loss:grief	AB
449	0	3	7	injury:pain	0	3	7	loss:grief	6	1	1	1	3	None	injury:pain::loss:grief	Probe
450	0	None	None	None	1	2	5	below:above	2	1	0	0	0	0	interior:exterior::below:above	CD
451	1	2	5	interior:exterior	0	None	None	None	2	None	0	0	0	0	interior:exterior::below:above	AB
452	0	2	5	interior:exterior	0	2	5	below:above	2	1	1	2	4	['4']	interior:exterior::below:above	Probe
453	0	None	None	None	1	2	5	start:finish	4	1	0	0	0	0	interior:exterior::start:finish	CD
454	1	2	5	interior:exterior	0	None	None	None	4	None	0	0	0	0	interior:exterior::start:finish	AB
455	0	2	5	interior:exterior	0	2	5	start:finish	4	1	1	2	4	['4']	interior:exterior::start:finish	Probe
456	0	None	None	None	1	2	6	right:bad	5	0	0	0	0	0	joke:laughter::right:bad	CD
457	1	3	7	joke:laughter	0	None	None	None	5	None	0	0	0	0	joke:laughter::right:bad	AB
458	0	3	7	joke:laughter	0	2	6	right:bad	5	0	1	1	4	['4']	joke:laughter::right:bad	Probe
459	0	None	None	None	1	1	3	rise:tide	7	0	0	0	0	0	joke:laughter::rise:tide	CD
460	1	3	7	joke:laughter	0	None	None	None	7	None	0	0	0	0	joke:laughter::rise:tide	AB
461	0	3	7	joke:laughter	0	1	3	rise:tide	7	0	1	1	4	['4']	joke:laughter::rise:tide	Probe
462	0	None	None	None	1	1	3	heat:temperature	4	0	0	0	0	0	just:unfair::heat:temperature	CD
463	1	2	6	just:unfair	0	None	None	None	4	None	0	0	0	0	just:unfair::heat:temperature	AB
464	0	2	6	just:unfair	0	1	3	heat:temperature	4	0	1	2	3	['3']	just:unfair::heat:temperature	Probe
465	0	None	None	None	1	3	7	injury:pain	2	0	0	0	0	0	just:unfair::injury:pain	CD
466	1	2	6	just:unfair	0	None	None	None	2	None	0	0	0	0	just:unfair::injury:pain	AB
467	0	2	6	just:unfair	0	3	7	injury:pain	2	0	1	2	3	['3']	just:unfair::injury:pain	Probe
468	0	None	None	None	1	1	1	couch:sofa	8	1	0	0	0	0	kid:child::couch:sofa	CD
469	1	1	1	kid:child	0	None	None	None	8	None	0	0	0	0	kid:child::couch:sofa	AB
470	0	1	1	kid:child	0	1	1	couch:sofa	8	1	1	2	4	['4']	kid:child::couch:sofa	Probe
471	0	None	None	None	1	1	1	make:manufacture	5	1	0	0	0	0	kid:child::make:manufacture	CD
472	1	1	1	kid:child	0	None	None	None	5	None	0	0	0	0	kid:child::make:manufacture	AB
473	0	1	1	kid:child	0	1	1	make:manufacture	5	1	1	2	4	['4']	kid:child::make:manufacture	Probe
474	0	None	None	None	1	3	9	bathe:clean	2	0	0	0	0	0	ladder:stairs::bathe:clean	CD
475	1	1	2	ladder:stairs	0	None	None	None	2	None	0	0	0	0	ladder:stairs::bathe:clean	AB
476	0	1	2	ladder:stairs	0	3	9	bathe:clean	2	0	1	2	3	['4']	ladder:stairs::bathe:clean	Probe
477	0	None	None	None	1	1	2	table:desk	3	1	0	0	0	0	ladder:stairs::table:desk	CD
478	1	1	2	ladder:stairs	0	None	None	None	3	None	0	0	0	0	ladder:stairs::table:desk	AB
479	0	1	2	ladder:stairs	0	1	2	table:desk	3	1	1	2	4	['4']	ladder:stairs::table:desk	Probe
480	0	None	None	None	1	2	5	in:out	5	1	0	0	0	0	left:right::in:out	CD
481	1	2	5	left:right	0	None	None	None	5	None	0	0	0	0	left:right::in:out	AB
482	0	2	5	left:right	0	2	5	in:out	5	1	1	1	3	['3']	left:right::in:out	Probe
483	0	None	None	None	1	3	7	tragedy:tears	7	0	0	0	0	0	left:right::tragedy:tears	CD
484	1	2	5	left:right	0	None	None	None	7	None	0	0	0	0	left:right::tragedy:tears	AB
485	0	2	5	left:right	0	3	7	tragedy:tears	7	0	1	2	3	['3']	left:right::tragedy:tears	Probe
486	0	None	None	None	1	3	8	fright:scream	5	1	0	0	0	0	loneliness:socialize::fright:scream	CD
487	1	3	8	loneliness:socialize	0	None	None	None	5	None	0	0	0	0	loneliness:socialize::fright:scream	AB
488	0	3	8	loneliness:socialize	0	3	8	fright:scream	5	1	1	1	3	['4']	loneliness:socialize::fright:scream	Probe
489	0	None	None	None	1	3	8	nervousness:sweat	8	1	0	0	0	0	loneliness:socialize::nervousness:sweat	CD
490	1	3	8	loneliness:socialize	0	None	None	None	8	None	0	0	0	0	loneliness:socialize::nervousness:sweat	AB
491	0	3	8	loneliness:socialize	0	3	8	nervousness:sweat	8	1	1	2	4	['3']	loneliness:socialize::nervousness:sweat	Probe
492	0	None	None	None	1	3	7	accident:damage	4	1	0	0	0	0	loss:grief::accident:damage	CD
493	1	3	7	loss:grief	0	None	None	None	4	None	0	0	0	0	loss:grief::accident:damage	AB
494	0	3	7	loss:grief	0	3	7	accident:damage	4	1	1	1	3	['3']	loss:grief::accident:damage	Probe
495	0	None	None	None	1	3	7	fire:burns	1	1	0	0	0	0	loss:grief::fire:burns	CD
496	1	3	7	loss:grief	0	None	None	None	1	None	0	0	0	0	loss:grief::fire:burns	AB
497	0	3	7	loss:grief	0	3	7	fire:burns	1	1	1	1	3	['3']	loss:grief::fire:burns	Probe
498	0	None	None	None	1	2	6	majority:small	2	1	0	0	0	0	loud:discreet::majority:small	CD
499	1	2	6	loud:discreet	0	None	None	None	2	None	0	0	0	0	loud:discreet::majority:small	AB
500	0	2	6	loud:discreet	0	2	6	majority:small	2	1	1	2	4	['4']	loud:discreet::majority:small	Probe
501	0	None	None	None	1	1	2	picture:drawing	3	0	0	0	0	0	loud:discreet::picture:drawing	CD
502	1	2	6	loud:discreet	0	None	None	None	3	None	0	0	0	0	loud:discreet::picture:drawing	AB
503	0	2	6	loud:discreet	0	1	2	picture:drawing	3	0	1	1	4	['4']	loud:discreet::picture:drawing	Probe
504	0	None	None	None	1	2	6	funny:serious	1	1	0	0	0	0	low:up::funny:serious	CD
505	1	2	6	low:up	0	None	None	None	1	None	0	0	0	0	low:up::funny:serious	AB
506	0	2	6	low:up	0	2	6	funny:serious	1	1	1	1	3	['3']	low:up::funny:serious	Probe
507	0	None	None	None	1	2	6	good:wrong	3	1	0	0	0	0	low:up::good:wrong	CD
508	1	2	6	low:up	0	None	None	None	3	None	0	0	0	0	low:up::good:wrong	AB
509	0	2	6	low:up	0	2	6	good:wrong	3	1	1	2	4	['4']	low:up::good:wrong	Probe
510	0	None	None	None	1	1	3	discount:price	8	1	0	0	0	0	lower:volume::discount:price	CD
511	1	1	3	lower:volume	0	None	None	None	8	None	0	0	0	0	lower:volume::discount:price	AB
512	0	1	3	lower:volume	0	1	3	discount:price	8	1	1	2	4	['3']	lower:volume::discount:price	Probe
513	0	None	None	None	1	3	9	flee:escape	5	0	0	0	0	0	lower:volume::flee:escape	CD
514	1	1	3	lower:volume	0	None	None	None	5	None	0	0	0	0	lower:volume::flee:escape	AB
515	0	1	3	lower:volume	0	3	9	flee:escape	5	0	1	1	4	['4']	lower:volume::flee:escape	Probe
516	0	None	None	None	1	1	2	house:tent	6	0	0	0	0	0	majority:small::house:tent	CD
517	1	2	6	majority:small	0	None	None	None	6	None	0	0	0	0	majority:small::house:tent	AB
518	0	2	6	majority:small	0	1	2	house:tent	6	0	1	1	4	['4']	majority:small::house:tent	Probe
519	0	None	None	None	1	2	6	just:unfair	8	1	0	0	0	0	majority:small::just:unfair	CD
520	1	2	6	majority:small	0	None	None	None	8	None	0	0	0	0	majority:small::just:unfair	AB
521	0	2	6	majority:small	0	2	6	just:unfair	8	1	1	2	4	['4']	majority:small::just:unfair	Probe
522	0	None	None	None	1	2	4	difficult:easy	4	0	0	0	0	0	make:manufacture::difficult:easy	CD
523	1	1	1	make:manufacture	0	None	None	None	4	None	0	0	0	0	make:manufacture::difficult:easy	AB
524	0	1	1	make:manufacture	0	2	4	difficult:easy	4	0	1	1	4	['4']	make:manufacture::difficult:easy	Probe
525	0	None	None	None	1	2	6	obey:protest	2	0	0	0	0	0	make:manufacture::obey:protest	CD
526	1	1	1	make:manufacture	0	None	None	None	2	None	0	0	0	0	make:manufacture::obey:protest	AB
527	0	1	1	make:manufacture	0	2	6	obey:protest	2	0	1	2	3	['3']	make:manufacture::obey:protest	Probe
528	0	None	None	None	1	3	8	coldness:shiver	1	1	0	0	0	0	nervousness:sweat::coldness:shiver	CD
